Name,Price,Url,Image_url,image_urls,images
Riverside,$19.95,https://www.glassesshop.com/eyeglasses/fm1385,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5d031896295ff.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5d031896295ff.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5d031896295ff.jpg', 'path': 'full/f294add0232215b9503ee647e90847d7bf314cf6.jpg', 'checksum': '2199bd46d42daa841e8b36a56a1bfdbf', 'status': 'downloaded'}]"
Martin,$29.95,https://www.glassesshop.com/eyeglasses/sm0795,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201803/5ab4ad5bc248c.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201803/5ab4ad5bc248c.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201803/5ab4ad5bc248c.jpg', 'path': 'full/4ae12e366896f986131f9f88ae922f54a95b9e57.jpg', 'checksum': '69d6fd9f8b270ad9368e46aaa80a48b8', 'status': 'downloaded'}]"
Taurus,$24.95,https://www.glassesshop.com/eyeglasses/fp2071,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fb61cb0e291c.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fb61cb0e291c.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fb61cb0e291c.jpg', 'path': 'full/093311a265cc2ad6d1698f2a49bcf6059455782c.jpg', 'checksum': 'd2f7c0a463f2eb999f29e4b6884941af', 'status': 'downloaded'}]"
Saxton,$59,https://www.glassesshop.com/eyeglasses/fm1499,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202009/5f616c753590c.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202009/5f616c753590c.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202009/5f616c753590c.jpg', 'path': 'full/380b396e60448f836aa7b392ef8a3e6dc14273ae.jpg', 'checksum': 'da9699dea3dfc6b61e329173884ada0d', 'status': 'downloaded'}]"
Taurus,$24.95,https://www.glassesshop.com/eyeglasses/fp2043,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg', 'path': 'full/0a4fad109282e5578da468fb94cc84d058628287.jpg', 'checksum': '59f7d85a8a82988a267f2ddebcc29a53', 'status': 'downloaded'}]"
Hume,$29.95,https://www.glassesshop.com/eyeglasses/fz1297,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201901/5c3403881a8fe.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201901/5c3403881a8fe.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201901/5c3403881a8fe.jpg', 'path': 'full/0276dab4d1eba8343560dd4873cb5299bb2aa1df.jpg', 'checksum': '082b6bbe4dcaa0f0b6eab51d55fad4ba', 'status': 'downloaded'}]"
Willie,$19.95,https://www.glassesshop.com/eyeglasses/sm0860,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc51096d6bb.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc51096d6bb.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc51096d6bb.jpg', 'path': 'full/50f1b8982c36618f78aed3e5de8dbf6dc1771f70.jpg', 'checksum': '28dff5334c8272c428c58b51b1bb3052', 'status': 'downloaded'}]"
Rochester,$29.95,https://www.glassesshop.com/eyeglasses/fm1263,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg', 'path': 'full/fe4b2083268d4846c7ebef02985ebd2267b52ec7.jpg', 'checksum': 'a83df27544f395cbb75e8bbee445fe6d', 'status': 'downloaded'}]"
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2035,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dbfed02cae13.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dbfed02cae13.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dbfed02cae13.jpg', 'path': 'full/e2f7b32a9043f8978b94d46c057e7553eb9312ef.jpg', 'checksum': '3e5b4c169b2eb624b67d2d655a7f4892', 'status': 'downloaded'}]"
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2034,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e914ad60c331.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e914ad60c331.jpg","[{'url': 'https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e914ad60c331.jpg', 'path': 'full/e922e418976786f6096c22f71a40ddcf5515bc5d.jpg', 'checksum': '2927a0a4ded286a75c7e047a24ac9819', 'status': 'downloaded'}]"
