Name,Price,Rating,Review Counts,link
Minecraft - PlayStation 3,N/A,4.7 out of 5 stars,"3,596",https://www.amazon.com//Minecraft-PlayStation-3/dp/B00JQHU9RC/ref=sr_1_38?dchild=1&keywords=ps3&qid=1611572705&sr=8-38
Lego Batman 3: Beyond Gotham + The Sly Collection PlayStation 3 500GB Bundle,$899.90,4.4 out of 5 stars,161,https://www.amazon.com//Lego-Batman-Beyond-Collection-PlayStation-3/dp/B00NE5D4RE/ref=sr_1_39?dchild=1&keywords=ps3&qid=1611572705&sr=8-39
Grand Theft Auto V (PS3),$18.98,4.7 out of 5 stars,329,https://www.amazon.com//Grand-Theft-Auto-PS3-Playstation-3/dp/B018TCAN7U/ref=sr_1_40?dchild=1&keywords=ps3&qid=1611572705&sr=8-40
Sony PLAYSTATION 3 80GB (PS3) System,N/A,3.5 out of 5 stars,31,https://www.amazon.com//Sony-PLAYSTATION-3-80GB-PS3-System/dp/B005DHDCJG/ref=sr_1_41?dchild=1&keywords=ps3&qid=1611572705&sr=8-41
Sony Playstation 3 Dualshock 3 Controller - Black,N/A,3.9 out of 5 stars,"1,023",https://www.amazon.com//Sony-Playstation-Dualshock-Controller-Black-3/dp/B00CUKPSGO/ref=sr_1_42?dchild=1&keywords=ps3&qid=1611572705&sr=8-42
PlayStation 3 40GB System,N/A,4.1 out of 5 stars,747,https://www.amazon.com//PlayStation-3-40GB-System/dp/B000XGJH1O/ref=sr_1_43?dchild=1&keywords=ps3&qid=1611572705&sr=8-43
Call of Duty: Black Ops Collection - PlayStation 3,$39.98,4.5 out of 5 stars,802,https://www.amazon.com//Call-Duty-Black-Ops-Collection-PlayStation/dp/B01N6ADP9A/ref=sr_1_44?dchild=1&keywords=ps3&qid=1611572705&sr=8-44
PlayStation 4 Pro 1TB Console,N/A,4.8 out of 5 stars,"9,905",https://www.amazon.com//PlayStation-4-Pro-1TB-Console/dp/B01LOP8EZC/ref=sr_1_45?dchild=1&keywords=ps3&qid=1611572705&sr=8-45
PS3 God of War: Saga Collection - 2 Disc,$27.49,4.7 out of 5 stars,"2,360",https://www.amazon.com//PS3-God-War-Collection-sony-playstation3/dp/B008CP6MA2/ref=sr_1_46?dchild=1&keywords=ps3&qid=1611572705&sr=8-46
PlayStation 3 System Slim 120GB,N/A,4.1 out of 5 stars,42,https://www.amazon.com//PlayStation-3-System-Slim-120GB/dp/B00GSHLSTG/ref=sr_1_47?dchild=1&keywords=ps3&qid=1611572705&sr=8-47
Call of Duty: Modern Warfare Trilogy  - PlayStation 3,$36.95,4.6 out of 5 stars,501,https://www.amazon.com//Call-Duty-Modern-Warfare-Collection-PlayStation/dp/B01DM98VJC/ref=sr_1_48?dchild=1&keywords=ps3&qid=1611572705&sr=8-48
PlayStation 4 Slim 1TB Console,N/A,4.8 out of 5 stars,"10,798",https://www.amazon.com//PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=sr_1_49?dchild=1&keywords=ps3&qid=1611572705&sr=8-49
Grand Theft Auto V - PlayStation 3,$24.99,4.6 out of 5 stars,"6,266",https://www.amazon.com//Grand-Theft-Auto-PlayStation-sony-playstation3/dp/B0050SXKU4/ref=sr_1_50?dchild=1&keywords=ps3&qid=1611572705&sr=8-50
"Wireless Controllers for PS3 Playstation 3 Dual Shock (Pack of 2,ClearBlue and ClearGreen)",$26.99,4.3 out of 5 stars,"2,278",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A05267443J8DGL78UGS06&url=%2FKolopc-color-one-pack%2Fdp%2FB07B92S5PB%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572707%26sr%3D8-49-spons%26psc%3D1&qualifier=1611572707&id=5069044703113621&widgetName=sp_atf_next
LION FISH - Remote Wireless Controller (2 Packs) for Nintendo Wii&Wii U Video Game Gamepads(No Motion Plus).(White),$34.99,4.1 out of 5 stars,312,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A04311371R6ZIXQ0L7564&url=%2FLION-FISH-Wireless-Controller-Nintendo%2Fdp%2FB076WZR16T%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572707%26sr%3D8-50-spons%26psc%3D1&qualifier=1611572707&id=5069044703113621&widgetName=sp_atf_next
Sonic the Hedgehog - Playstation 3,$14.99,4.4 out of 5 stars,999,https://www.amazon.com//Sonic-Hedgehog-Playstation-3/dp/B000G0HJ3K/ref=sr_1_51?dchild=1&keywords=ps3&qid=1611572707&sr=8-51
The Sims 3 - Playstation 3,$18.97,4.4 out of 5 stars,902,https://www.amazon.com//Sims-3-Playstation/dp/B003KMCHTC/ref=sr_1_52?dchild=1&keywords=ps3&qid=1611572707&sr=8-52
Official Playstation Move Navigation Controller (Bulk Packaging),$34.99,4.3 out of 5 stars,32,https://www.amazon.com//Official-Playstation-Navigation-Controller-Packaging-3/dp/B079VVYW9W/ref=sr_1_53?dchild=1&keywords=ps3&qid=1611572707&sr=8-53
Kingdom Hearts HD 1.5 Remix,$17.92,4.7 out of 5 stars,"1,318",https://www.amazon.com//Kingdom-Hearts-1-5-Remix-PlayStation-3/dp/B008SBZD5U/ref=sr_1_54?dchild=1&keywords=ps3&qid=1611572707&sr=8-54
Afterglow Wireless Controller: Signature Blue - PS3,$19.96,4.4 out of 5 stars,777,https://www.amazon.com//Afterglow-Wireless-Controller-Blue-playstation-3/dp/B017VLXH3C/ref=sr_1_55?dchild=1&keywords=ps3&qid=1611572707&sr=8-55
LEGO Marvel's Avengers - PS3,$19.69,4.6 out of 5 stars,516,https://www.amazon.com//LEGO-Marvels-Avengers-PS3-playstation-3/dp/B00T57U7TS/ref=sr_1_56?dchild=1&keywords=ps3&qid=1611572707&sr=8-56
"Sony Playstation 3 Console, 160GB, CECH-2501A, Console Only",N/A,3.4 out of 5 stars,28,https://www.amazon.com//Sony-Playstation-Console-160GB-CECH-2501A/dp/B00E36AEI0/ref=sr_1_57?dchild=1&keywords=ps3&qid=1611572707&sr=8-57
Game Guide for Skyrim ps3: The Ultimate Skyrim Strategy Guide with Cheats and Tips,$0.00,2.6 out of 5 stars,28,https://www.amazon.com//Game-Guide-Skyrim-ps3-Ultimate-ebook/dp/B00C79VCQI/ref=sr_1_58?dchild=1&keywords=ps3&qid=1611572707&sr=8-58
Call of Duty: Black Ops II (Revolution Map Pack Included) - PlayStation 3,$38.97,4.5 out of 5 stars,576,https://www.amazon.com//Call-Duty-Revolution-PlayStation-sony-playstation3/dp/B00D2EGWDA/ref=sr_1_59?dchild=1&keywords=ps3&qid=1611572707&sr=8-59
Madden NFL 09 - Playstation 3,$40.00,4.4 out of 5 stars,162,https://www.amazon.com//Madden-NFL-09-Playstation-3/dp/B0012N7BSI/ref=sr_1_60?dchild=1&keywords=ps3&qid=1611572707&sr=8-60
Grand Theft Auto: San Andreas - PlayStation 3,$16.94,4.7 out of 5 stars,643,https://www.amazon.com//Grand-Theft-Auto-San-Andreas-PlayStation/dp/B016YU8X6M/ref=sr_1_61?dchild=1&keywords=ps3&qid=1611572707&sr=8-61
Guitar Hero Live Wireless Guitar Controller 0000654 For PS3 With Dongle & String,$114.11,3.2 out of 5 stars,16,https://www.amazon.com//Guitar-Wireless-Controller-0000654-Dongle/dp/B01DL9LJOC/ref=sr_1_62?dchild=1&keywords=ps3&qid=1611572707&sr=8-62
Sonic & All-Stars Racing Transformed - PlayStation 3,$13.40,4.7 out of 5 stars,989,https://www.amazon.com//Sonic-All-Stars-Racing-Transformed-PlayStation-3/dp/B008OQTR3S/ref=sr_1_63?dchild=1&keywords=ps3&qid=1611572707&sr=8-63
Sony Computer Entertainment Playstation 3 12GB System,N/A,4.5 out of 5 stars,716,https://www.amazon.com//Sony-Computer-Entertainment-Playstation-System-3/dp/B00E369SDM/ref=sr_1_64?dchild=1&keywords=ps3&qid=1611572707&sr=8-64
Amazing Spider-Man,$50.98,4.5 out of 5 stars,366,https://www.amazon.com//Amazing-Spider-Man-sony-playstation3/dp/B005VKRGXI/ref=sr_1_65?dchild=1&keywords=ps3&qid=1611572707&sr=8-65
DuckTales - Remastered PS3 - PlayStation 3,$39.99,4.4 out of 5 stars,382,https://www.amazon.com//DuckTales-Remastered-PS3-PlayStation-3/dp/B00F9MZSVA/ref=sr_1_66?dchild=1&keywords=ps3&qid=1611572707&sr=8-66
PS3 Controller Wireless for Playstation 3 Dual Shock (Black and Red),$26.99,4.3 out of 5 stars,"2,278",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A08017161KD0XOPX917OV&url=%2FKolopc-Wireless-Controller-Gamepad-Playstation%2Fdp%2FB07JJ7WZ1B%2Fref%3Dsr_1_65_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572708%26sr%3D8-65-spons%26psc%3D1&qualifier=1611572708&id=6212844720196397&widgetName=sp_atf_next
LION FISH - Remote Wireless Controller (2 Packs) for Nintendo Wii&Wii U Video Game Gamepads(No Motion Plus). (Blue),$34.99,4.2 out of 5 stars,119,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A00065763GLHIR8EMD3X1&url=%2FLION-FISH-Wireless-Controller-Nintendo%2Fdp%2FB078WY7HJV%2Fref%3Dsr_1_66_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572708%26sr%3D8-66-spons%26psc%3D1&qualifier=1611572708&id=6212844720196397&widgetName=sp_atf_next
Sony PlayStation 3 500GB Limited Edition Console | White,N/A,3.9 out of 5 stars,87,https://www.amazon.com//Sony-PlayStation-500GB-Limited-Console-3/dp/B00C0Z6KCA/ref=sr_1_67?dchild=1&keywords=ps3&qid=1611572708&sr=8-67
Minecraft - PlayStation 3 Edition,$36.80,4.7 out of 5 stars,"2,138",https://www.amazon.com//Minecraft-PlayStation-3-Sony/dp/B00J58RFD8/ref=sr_1_68?dchild=1&keywords=ps3&qid=1611572708&sr=8-68
Need for Speed Hot Pursuit - Playstation 3,$21.40,4.6 out of 5 stars,"1,206",https://www.amazon.com//Need-Speed-Hot-Pursuit-Playstation-3/dp/B003R7H5TC/ref=sr_1_69?dchild=1&keywords=ps3&qid=1611572708&sr=8-69
Rocksmith 2014 Edition - Playstation 3 (Cable Included),N/A,4.5 out of 5 stars,"1,401",https://www.amazon.com//Rocksmith-2014-Playstation-3-Cable-Included/dp/B00D6PTMB4/ref=sr_1_70?dchild=1&keywords=ps3&qid=1611572708&sr=8-70
Kingdom Hearts HD 2.5 ReMIX - PlayStation 3,$18.79,4.7 out of 5 stars,"1,103",https://www.amazon.com//Kingdom-Hearts-HD-2-5-ReMIX-PlayStation/dp/B00G6MW6BW/ref=sr_1_71?dchild=1&keywords=ps3&qid=1611572708&sr=8-71
NETGEAR WNCE2001 Universal WiFi Internet Adapter - Manufacturer Refurbished,N/A,4.0 out of 5 stars,904,https://www.amazon.com//NETGEAR-WNCE2001-Universal-Internet-Adapter/dp/B007CO5DZ4/ref=sr_1_72?dchild=1&keywords=ps3&qid=1611572708&sr=8-72
Rayman Legends Essentials (PS3),$24.99,4.7 out of 5 stars,53,https://www.amazon.com//Rayman-Legends-Essentials-PS3-playstation-3/dp/B07B8YYDZ4/ref=sr_1_73?dchild=1&keywords=ps3&qid=1611572708&sr=8-73
"LucidSound LS15P Wireless Gaming Headset for Sony PlayStation, PS5, PS4, Mobile, PC, Headphones, Chat, Gaming Audio - PlayStation 3; PlayStation 2; PlayStation",$99.99,3.0 out of 5 stars,2,https://www.amazon.com//LucidSound-Wireless-Gaming-Headset-PlayStation-Headphones/dp/B08MMY3MVN/ref=sr_1_74?dchild=1&keywords=ps3&qid=1611572708&sr=8-74
PS3 Azurite 250GB System with PlayStation All-Stars Battle Royale Bundle,N/A,4.3 out of 5 stars,69,https://www.amazon.com//Azurite-System-PlayStation-All-Stars-Battle-3/dp/B00HK74G2E/ref=sr_1_75?dchild=1&keywords=ps3&qid=1611572708&sr=8-75
The Elder Scrolls V: Skyrim - Playstation 3 Legendary Edition,$20.00,4.7 out of 5 stars,"1,519",https://www.amazon.com//Elder-Scrolls-Skyrim-Legendary-Playstation-3/dp/B00CJ7IUI6/ref=sr_1_76?dchild=1&keywords=ps3&qid=1611572708&sr=8-76
OSTENT USB Cooling Cooler Fan 4-Fan Automatic Temperature Adjustable Compatible for Sony PS3 Console,$11.79,3.8 out of 5 stars,57,https://www.amazon.com//Automatic-Temperature-Adjustable-Compatible-Playstation-3/dp/B00FBM55W0/ref=sr_1_77?dchild=1&keywords=ps3&qid=1611572708&sr=8-77
Far Cry Compilation 3+4 (PS3),$28.49,4.4 out of 5 stars,24,https://www.amazon.com//Far-Cry-Compilation-3-PS3-playstation/dp/B01AUJZVRM/ref=sr_1_78?dchild=1&keywords=ps3&qid=1611572708&sr=8-78
Dualshock 3 Wireless Controller for Ps3 Charcoal Black,N/A,4.1 out of 5 stars,"3,338",https://www.amazon.com//Dualshock-Wireless-Controller-Charcoal-Black/dp/B005MMFIOO/ref=sr_1_79?dchild=1&keywords=ps3&qid=1611572708&sr=8-79
"Wireless Controller for Playstation 3,PS3 Gamepad Six-axis Gaming Joysticks, up to 10m Remote Control, Support Windows PC with Charging Cable Connect",$29.69,4.2 out of 5 stars,871,https://www.amazon.com//Wireless-Controller-Vibration-PlayStation-Six-axis/dp/B07QZQZ5Q9/ref=sr_1_80?dchild=1&keywords=ps3&qid=1611572708&sr=8-80
